sex age height weight bmi
1 31 91.6 12.5 14.9
1 126 136.6 32.9 17.63
1 230 162 59.2 22.56
0 160 162 40.7 15.51
1 133 156.9 45.5 18.48
0 184 171.9 65 22
0 26 88.6 11.4 14.52
0 223 168.5 112.9 39.76
1 160 162.2 50.9 19.35
1 149 169.1 75 26.23
1 173 163.1 85.6 32.18
0 226 161.3 72.2 27.75
0 228 179.6 62.7 19.44
1 93 126.1 21.7 13.65
1 189 164 47.5 17.66
0 129 151.1 43.5 19.05
0 36 90.2 11.6 14.26
1 77 117.7 22 15.88
0 85 127.6 25.9 15.91
0 25 85.9 14 18.97
1 224 163.7 84.2 31.42
1 83 120.7 24.5 16.82
1 186 162.5 61.3 23.21
0 150 162.5 61.5 23.29
1 233 165.4 57.4 20.98
1 223 158.8 70.5 27.96
0 31 89.6 12.7 15.82
1 216 154.1 57.1 24.05
0 71 115.2 21.5 16.2
0 58 108.2 19.7 16.83
1 216 154.6 41.5 17.36
0 120 139.5 37.9 19.48
0 167 143.5 48 23.31
1 237 155.4 57.8 23.93
1 41 96.8 14.64 15.62
1 192 168.8 54.1 18.99
1 87 120.3 22.3 15.41
1 158 157.3 49.2 19.88
0 107 134.5 27.2 15.04
1 168 164.2 55.6 20.62
0 131 151.8 39.3 17.05
1 30 95.1 15.1 16.7
1 36 93.4 13 14.9
0 178 166.5 51.1 18.43
0 224 165.6 79.9 29.14
1 169 157.3 56.8 22.96
1 232 143.3 42.8 20.84
0 46 101.5 15.7 15.24
0 205 183.2 122.1 36.38
1 174 152.8 66.4 28.44
1 37 97.5 16.6 17.46
1 41 99.9 16.7 16.73
1 145 160 48.8 19.06
0 158 145.9 32.7 15.36
1 170 152.6 81.3 34.91
0 195 167.3 61.2 21.87
0 175 175.4 83 26.98
1 66 122.4 34.1 22.76
0 183 167.4 54.5 19.45
1 102 131.5 29.6 17.12
0 115 151.9 55.1 23.88
1 179 165.6 90 32.82
1 145 157.2 53.9 21.81
1 148 168.7 93.3 32.78
1 173 160 47.6 18.59
1 168 160.7 92.3 35.74
0 199 178.7 68.9 21.58
1 176 167.7 95.2 33.85
1 51 110.1 20.6 16.99
1 98 128.3 25.1 15.25
1 41 98.8 19.9 20.39
1 77 118.5 23.7 16.88
0 219 163.2 65.1 24.44
0 28 96.6 16.2 17.36
0 230 167.8 95.7 33.99
0 76 116.3 22.4 16.56
0 178 152.9 50.8 21.73
0 126 136.5 38.5 20.66
0 97 127.4 24.2 14.91
0 221 158.5 57.7 22.97
1 240 151.8 48.4 21
1 66 106.4 19.3 17.05
0 122 133.7 43.5 24.33
0 89 130.3 29.3 17.26
1 63 112.5 19.9 15.72
1 46 100.5 15.2 15.05
0 226 168.1 63.6 22.51
0 26 85.3 12.5 17.18
0 85 135.8 27.4 14.86
1 218 163.9 77.3 28.78
1 141 147.3 35.9 16.55
1 225 160.2 64.3 25.05
1 47 102 14.5 13.94
0 194 175.7 54.1 17.52
1 185 160.2 50.9 19.83
0 71 110.9 18 14.64
0 143 130.3 26.9 15.84
1 73 117.3 20.8 15.12
1 165 159.8 48.2 18.88
1 178 147.7 36.7 16.82
1 45 101.2 15.9 15.53
1 145 157.6 51.2 20.61
1 36 93.1 13.1 15.11
1 237 161.3 55.7 21.41
1 222 158.5 63.4 25.24
0 235 174.4 86.6 28.47
0 78 113.2 18.8 14.67
0 78 116.8 22.7 16.64
1 237 163.6 65.8 24.58
0 233 164.9 71.6 26.33
0 123 136.5 43.1 23.13
1 113 137.2 26.8 14.24
1 69 113.7 19.5 15.08
1 181 149.9 76.4 34
1 219 166.3 53.3 19.27
0 232 176.3 85.1 27.38
1 40 95.8 14.2 15.47
1 212 165.9 58.5 21.26
1 183 154 51.8 21.84
1 100 124.9 22.5 14.42
0 190 170.4 58.2 20.04
0 222 170.4 64.2 22.11
1 111 130.2 58.5 34.51
0 239 180 68.6 21.17
1 183 169.6 53 18.43
1 204 157.6 46.64 18.78
1 227 167.3 64.6 23.08
0 117 134.3 29.2 16.19
0 237 167.9 84.2 29.87
1 52 100.5 18.7 18.51
0 188 181.4 69.3 21.06
0 170 163.5 52.3 19.56
0 207 181.9 70.7 21.37
0 35 93.5 14.7 16.81
