"Income" "Show"
"1" "Low" "Sports"
"2" "Low" "Sports"
"3" "Low" "Sports"
"4" "Low" "Sports"
"5" "Low" "Sports"
"6" "Low" "Sports"
"7" "Low" "Sports"
"8" "Low" "Sports"
"9" "Low" "Sports"
"10" "Low" "Sports"
"11" "Low" "Sports"
"12" "Low" "Sports"
"13" "Low" "Sports"
"14" "Low" "Sports"
"15" "Low" "Sports"
"16" "Low" "Sports"
"17" "Low" "Sports"
"18" "Low" "Sports"
"19" "Low" "Sports"
"20" "Low" "Sports"
"21" "Low" "Sports"
"22" "Low" "Sports"
"23" "Low" "Sports"
"24" "Low" "Sports"
"25" "Low" "Sports"
"26" "Low" "Sports"
"27" "Low" "Sports"
"28" "Low" "Sports"
"29" "Low" "Sports"
"30" "Low" "Sports"
"31" "Low" "Sports"
"32" "Low" "Sports"
"33" "Low" "Sports"
"34" "Low" "Sports"
"35" "Low" "Sports"
"36" "Low" "Sports"
"37" "Low" "Sports"
"38" "Low" "Sports"
"39" "Low" "Sports"
"40" "Low" "Sports"
"41" "Low" "Sports"
"42" "Low" "Sports"
"43" "Low" "Sports"
"44" "Low" "Sports"
"45" "Low" "Sports"
"46" "Low" "Sports"
"47" "Low" "Sports"
"48" "Low" "Sports"
"49" "Low" "Sports"
"50" "Low" "Sports"
"51" "Low" "Sports"
"52" "Low" "Sports"
"53" "Low" "Sports"
"54" "Low" "Sports"
"55" "Low" "Sports"
"56" "Low" "Sports"
"57" "Low" "Sports"
"58" "Low" "Sports"
"59" "Low" "Sports"
"60" "Low" "Sports"
"61" "Low" "Sports"
"62" "Low" "Sports"
"63" "Low" "Sports"
"64" "Low" "Sports"
"65" "Low" "Sports"
"66" "Low" "Sports"
"67" "Low" "Sports"
"68" "Low" "Sports"
"69" "Low" "Sports"
"70" "Low" "Sports"
"71" "Low" "Sports"
"72" "Low" "Sports"
"73" "Low" "Sports"
"74" "Low" "Sports"
"75" "Low" "Sports"
"76" "Low" "Sports"
"77" "Low" "Sports"
"78" "Low" "Sports"
"79" "Low" "Sports"
"80" "Low" "Sports"
"81" "Low" "Sports"
"82" "Low" "Sports"
"83" "Low" "Sports"
"84" "Low" "Sports"
"85" "Low" "Sports"
"86" "Low" "Sports"
"87" "Low" "Sports"
"88" "Low" "Sports"
"89" "Low" "Sports"
"90" "Low" "Sports"
"91" "Low" "Sports"
"92" "Low" "Sports"
"93" "Low" "Sports"
"94" "Low" "Sports"
"95" "Low" "Sports"
"96" "Low" "Sports"
"97" "Low" "Sports"
"98" "Low" "Sports"
"99" "Low" "Sports"
"100" "Low" "Sports"
"101" "Low" "Sports"
"102" "Low" "Sports"
"103" "Low" "Sports"
"104" "Low" "Sports"
"105" "Low" "Sports"
"106" "Low" "Sports"
"107" "Low" "Sports"
"108" "Low" "Sports"
"109" "Low" "Sports"
"110" "Low" "Sports"
"111" "Low" "Sports"
"112" "Low" "Sports"
"113" "Low" "Sports"
"114" "Low" "Sports"
"115" "Low" "Sports"
"116" "Low" "Sports"
"117" "Low" "Sports"
"118" "Low" "Sports"
"119" "Low" "Sports"
"120" "Low" "Sports"
"121" "Low" "Sports"
"122" "Low" "Sports"
"123" "Low" "Sports"
"124" "Low" "Sports"
"125" "Low" "Sports"
"126" "Low" "Sports"
"127" "Low" "Sports"
"128" "Low" "Sports"
"129" "Low" "Sports"
"130" "Low" "Sports"
"131" "Low" "Sports"
"132" "Low" "Sports"
"133" "Low" "Sports"
"134" "Low" "Sports"
"135" "Low" "Sports"
"136" "Low" "Sports"
"137" "Low" "Sports"
"138" "Low" "Sports"
"139" "Low" "Sports"
"140" "Low" "Sports"
"141" "Low" "Sports"
"142" "Low" "Sports"
"143" "Low" "Sports"
"144" "Medium" "Sports"
"145" "Medium" "Sports"
"146" "Medium" "Sports"
"147" "Medium" "Sports"
"148" "Medium" "Sports"
"149" "Medium" "Sports"
"150" "Medium" "Sports"
"151" "Medium" "Sports"
"152" "Medium" "Sports"
"153" "Medium" "Sports"
"154" "Medium" "Sports"
"155" "Medium" "Sports"
"156" "Medium" "Sports"
"157" "Medium" "Sports"
"158" "Medium" "Sports"
"159" "Medium" "Sports"
"160" "Medium" "Sports"
"161" "Medium" "Sports"
"162" "Medium" "Sports"
"163" "Medium" "Sports"
"164" "Medium" "Sports"
"165" "Medium" "Sports"
"166" "Medium" "Sports"
"167" "Medium" "Sports"
"168" "Medium" "Sports"
"169" "Medium" "Sports"
"170" "Medium" "Sports"
"171" "Medium" "Sports"
"172" "Medium" "Sports"
"173" "Medium" "Sports"
"174" "Medium" "Sports"
"175" "Medium" "Sports"
"176" "Medium" "Sports"
"177" "Medium" "Sports"
"178" "Medium" "Sports"
"179" "Medium" "Sports"
"180" "Medium" "Sports"
"181" "Medium" "Sports"
"182" "Medium" "Sports"
"183" "Medium" "Sports"
"184" "Medium" "Sports"
"185" "Medium" "Sports"
"186" "Medium" "Sports"
"187" "Medium" "Sports"
"188" "Medium" "Sports"
"189" "Medium" "Sports"
"190" "Medium" "Sports"
"191" "Medium" "Sports"
"192" "Medium" "Sports"
"193" "Medium" "Sports"
"194" "Medium" "Sports"
"195" "Medium" "Sports"
"196" "Medium" "Sports"
"197" "Medium" "Sports"
"198" "Medium" "Sports"
"199" "Medium" "Sports"
"200" "Medium" "Sports"
"201" "Medium" "Sports"
"202" "Medium" "Sports"
"203" "Medium" "Sports"
"204" "Medium" "Sports"
"205" "Medium" "Sports"
"206" "Medium" "Sports"
"207" "Medium" "Sports"
"208" "Medium" "Sports"
"209" "Medium" "Sports"
"210" "Medium" "Sports"
"211" "Medium" "Sports"
"212" "Medium" "Sports"
"213" "Medium" "Sports"
"214" "Medium" "Sports"
"215" "Medium" "Sports"
"216" "Medium" "Sports"
"217" "Medium" "Sports"
"218" "Medium" "Sports"
"219" "Medium" "Sports"
"220" "Medium" "Sports"
"221" "Medium" "Sports"
"222" "Medium" "Sports"
"223" "Medium" "Sports"
"224" "Medium" "Sports"
"225" "Medium" "Sports"
"226" "Medium" "Sports"
"227" "Medium" "Sports"
"228" "Medium" "Sports"
"229" "Medium" "Sports"
"230" "Medium" "Sports"
"231" "Medium" "Sports"
"232" "Medium" "Sports"
"233" "Medium" "Sports"
"234" "High" "Sports"
"235" "High" "Sports"
"236" "High" "Sports"
"237" "High" "Sports"
"238" "High" "Sports"
"239" "High" "Sports"
"240" "High" "Sports"
"241" "High" "Sports"
"242" "High" "Sports"
"243" "High" "Sports"
"244" "High" "Sports"
"245" "High" "Sports"
"246" "High" "Sports"
"247" "High" "Sports"
"248" "High" "Sports"
"249" "High" "Sports"
"250" "High" "Sports"
"251" "Low" "Movie"
"252" "Low" "Movie"
"253" "Low" "Movie"
"254" "Low" "Movie"
"255" "Low" "Movie"
"256" "Low" "Movie"
"257" "Low" "Movie"
"258" "Low" "Movie"
"259" "Low" "Movie"
"260" "Low" "Movie"
"261" "Low" "Movie"
"262" "Low" "Movie"
"263" "Low" "Movie"
"264" "Low" "Movie"
"265" "Low" "Movie"
"266" "Low" "Movie"
"267" "Low" "Movie"
"268" "Low" "Movie"
"269" "Low" "Movie"
"270" "Low" "Movie"
"271" "Low" "Movie"
"272" "Low" "Movie"
"273" "Low" "Movie"
"274" "Low" "Movie"
"275" "Low" "Movie"
"276" "Low" "Movie"
"277" "Low" "Movie"
"278" "Low" "Movie"
"279" "Low" "Movie"
"280" "Low" "Movie"
"281" "Low" "Movie"
"282" "Low" "Movie"
"283" "Low" "Movie"
"284" "Low" "Movie"
"285" "Low" "Movie"
"286" "Low" "Movie"
"287" "Low" "Movie"
"288" "Low" "Movie"
"289" "Low" "Movie"
"290" "Low" "Movie"
"291" "Low" "Movie"
"292" "Low" "Movie"
"293" "Low" "Movie"
"294" "Low" "Movie"
"295" "Low" "Movie"
"296" "Low" "Movie"
"297" "Low" "Movie"
"298" "Low" "Movie"
"299" "Low" "Movie"
"300" "Low" "Movie"
"301" "Low" "Movie"
"302" "Low" "Movie"
"303" "Low" "Movie"
"304" "Low" "Movie"
"305" "Low" "Movie"
"306" "Low" "Movie"
"307" "Low" "Movie"
"308" "Low" "Movie"
"309" "Low" "Movie"
"310" "Low" "Movie"
"311" "Low" "Movie"
"312" "Low" "Movie"
"313" "Low" "Movie"
"314" "Low" "Movie"
"315" "Low" "Movie"
"316" "Low" "Movie"
"317" "Low" "Movie"
"318" "Low" "Movie"
"319" "Low" "Movie"
"320" "Low" "Movie"
"321" "Medium" "Movie"
"322" "Medium" "Movie"
"323" "Medium" "Movie"
"324" "Medium" "Movie"
"325" "Medium" "Movie"
"326" "Medium" "Movie"
"327" "Medium" "Movie"
"328" "Medium" "Movie"
"329" "Medium" "Movie"
"330" "Medium" "Movie"
"331" "Medium" "Movie"
"332" "Medium" "Movie"
"333" "Medium" "Movie"
"334" "Medium" "Movie"
"335" "Medium" "Movie"
"336" "Medium" "Movie"
"337" "Medium" "Movie"
"338" "Medium" "Movie"
"339" "Medium" "Movie"
"340" "Medium" "Movie"
"341" "Medium" "Movie"
"342" "Medium" "Movie"
"343" "Medium" "Movie"
"344" "Medium" "Movie"
"345" "Medium" "Movie"
"346" "Medium" "Movie"
"347" "Medium" "Movie"
"348" "Medium" "Movie"
"349" "Medium" "Movie"
"350" "Medium" "Movie"
"351" "Medium" "Movie"
"352" "Medium" "Movie"
"353" "Medium" "Movie"
"354" "Medium" "Movie"
"355" "Medium" "Movie"
"356" "Medium" "Movie"
"357" "Medium" "Movie"
"358" "Medium" "Movie"
"359" "Medium" "Movie"
"360" "Medium" "Movie"
"361" "Medium" "Movie"
"362" "Medium" "Movie"
"363" "Medium" "Movie"
"364" "Medium" "Movie"
"365" "Medium" "Movie"
"366" "Medium" "Movie"
"367" "Medium" "Movie"
"368" "Medium" "Movie"
"369" "Medium" "Movie"
"370" "Medium" "Movie"
"371" "Medium" "Movie"
"372" "Medium" "Movie"
"373" "Medium" "Movie"
"374" "Medium" "Movie"
"375" "Medium" "Movie"
"376" "Medium" "Movie"
"377" "Medium" "Movie"
"378" "Medium" "Movie"
"379" "Medium" "Movie"
"380" "Medium" "Movie"
"381" "Medium" "Movie"
"382" "Medium" "Movie"
"383" "Medium" "Movie"
"384" "Medium" "Movie"
"385" "Medium" "Movie"
"386" "Medium" "Movie"
"387" "Medium" "Movie"
"388" "High" "Movie"
"389" "High" "Movie"
"390" "High" "Movie"
"391" "High" "Movie"
"392" "High" "Movie"
"393" "High" "Movie"
"394" "High" "Movie"
"395" "High" "Movie"
"396" "High" "Movie"
"397" "High" "Movie"
"398" "High" "Movie"
"399" "High" "Movie"
"400" "High" "Movie"
"401" "Low" "News"
"402" "Low" "News"
"403" "Low" "News"
"404" "Low" "News"
"405" "Low" "News"
"406" "Low" "News"
"407" "Low" "News"
"408" "Low" "News"
"409" "Low" "News"
"410" "Low" "News"
"411" "Low" "News"
"412" "Low" "News"
"413" "Low" "News"
"414" "Low" "News"
